RegionName,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
29466,Mount Pleasant,SC,Charleston-North Charleston,Charleston County,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.658476658,1.621338912,1.634285714,1.57713015,1.62601626,1.64748954,1.660828287,1.575931232,1.629325455,1.536772777,1.59899618,1.546010296,1.471807629,1.370302475,1.449983615,1.411087113,1.373626374,1.412757135,1.38576779,1.559454191,1.485508697,1.571692877,1.571692877,1.525439408,1.537556561,1.546666667,1.553191489,1.525439408
75081,Richardson,TX,Dallas-Fort Worth-Arlington,Dallas County,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.590839695,1.60768453,1.572934974,1.584144645,1.602597222,1.60768453,1.612389994,1.604189636,1.574158326,1.552785249,1.548860603,1.3878327,1.484245439,1.400639418,1.403337969,1.41301627,1.486787204,1.588235294,1.57005467,1.521636073,1.459459459,1.413721714,1.409335727,1.417246175,1.463187325,1.378549318,1.35094229,1.335365854,1.445532436,1.484403873,1.505936073,1.458970793,1.458371565,1.528511822
92069,San Marcos,CA,San Diego-Carlsbad,San Diego County,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853749358,1.839753467,1.924242424,1.899779736,1.9886121,2.063832442,2.114622966,2.135815991,2.150537634,2.150608609,2.150608609,2.119928095,2.038823529,1.931642314,2.063345196,2.104867498,2.165259349,2.252781323,2.165259349,2.162175129,2.124227539,2.077087618,2.337132004,2.308573409,2.299230638,2.335232669,2.324786325,2.281314168,2.296470588,2.228588661,2.170768765,2.2064949,2.218222493,2.172631579,2.174089069
75075,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.521203156,1.496815287,1.50887574,1.47735709,1.461790041,1.457593688,1.603739227,1.621544212,1.853932584,1.83634674,1.811926606,1.551918584,1.52446675,1.712672522,1.526652241,1.526652241,1.592356688,1.524880709,1.433333333,1.45,1.483874794,1.412179487,1.433333333,1.433333333,1.484545455,1.477132262,1.535854659,1.492802966,1.478616924,1.540485739,1.573356594,1.509841113,1.491969569,1.301369863,1.261627907,1.292428198,1.303594771,1.298017772
98374,South Hill,WA,Seattle-Tacoma-Bellevue,Pierce County,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.510903427,1.435889107,1.491666667,1.552903739,1.470235717,1.481408691,1.460333007,1.464150943,1.403302442,1.295811518,1.41717831,1.453647245,1.525057826,1.527208226,1.524187153,1.575173477,1.503894081,1.484536082,1.520265549,1.450912418,1.521461187,1.502336449,1.498530852,1.535046729,1.619051474,1.632885331,1.556115073,1.634741784,1.699561404,1.699561404,1.689246401
55369,Maple Grove,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.309895833,1.380681818,1.380681818,1.362928349,1.3125,1.307291667,1.3125,1.305309735,1.3125,1.389808917,1.312887168,1.521720484,1.517600903,1.551573427,1.592205323,1.552456543,1.517600903,1.410526316,1.43,1.409429825,1.39375,1.37208833,1.410992325,1.386458333,1.409103631,1.434127173,1.436163158,1.483952703,1.5,1.481415929,1.477433628,1.515125324,1.514949026,1.521720484
91320,Thousand Oaks,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.077070505,2.095923261,2.224220624,2.13,2.147482014,2.20263789,2.055125725,2.039931494,2.047110901,2.104727975,2.117010816,2.200604839,2.215725806,2.122340426,2.147969052,2.222437137,2.305609284,2.313346228,2.326394422,2.153253119,2.348168498,2.382566586,2.357394081,2.303288201,2.32669901,2.313346228,2.293785311,2.352988048,2.305084746,2.255413502,2.214545455,2.210025923,2.277286136
90029,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041666667,1.995,2.131203838,2.272727273,2.176691729,2.1875,2.25,2.199,2.199,2.295040984,2.251608478,2.422932331,2.238822115,2.333333333,2.3,2.334943639,2.5,2.413141994,2.636363636,2.644444444,2.596405229,2.263636364,2.658057371,2.41875,2.438888889,2.379310345,2.581150274,2.451612903,2.513141026,2.490168681,2.447293447,2.46775641,2.421428571,2.560277778,2.572222222,2.669642857,2.589444444,2.595,2.5625,2.613793103,2.86880123,2.774395004,2.755952381,2.658333333,2.588235294,2.677115987,2.775252525,2.730769231,2.746559633,2.7,2.8,2.809090909,2.8,2.7,2.755769231,2.825,2.92567667,2.846153846,2.915384615,2.916666667,3
97230,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.239116379,1.267361111,1.267361111,1.26875,1.302083333,1.311111111,1.309027778,1.285100177,1.305555556,1.295518207,1.235384615,1.258064516,1.271633668,1.331018519,1.333333333,1.31583113,1.353632479,1.289973406,1.359183673,1.328055839,1.3125,1.345578231,1.319921224,1.295777525,1.31622807,1.341227229,1.345578231,1.334635417,1.334635417,1.375,1.399739583,1.399739583,1.362056334
94404,Foster City,CA,San Francisco-Oakland-Hayward,San Mateo County,1316,,,,,,,,,,,,,,,,,,,,,,,,,,2.452847629,2.540613718,2.565943608,2.620092831,2.594765343,2.445175439,2.63,2.833109017,2.601176471,2.580786026,2.515283843,2.590704648,2.590704648,2.580786026,2.590704648,2.734214597,2.849436756,2.997701149,2.894385027,2.845577211,2.775841949,2.78156915,2.779950636,2.727951153,2.765723026,2.850086221,2.96875,3.094262295,3.075384615,3.130453455,3.15862069,3.181609195,3.174590215,3.19299747,3.119468651,3.247992864,3.27,3.204868154,3.277867746,3.388342697,3.584118439,3.54494382,3.468152285,3.362727273,3.473032714,3.744827586,3.634962998,3.75472342,3.756321839,3.767744253,3.70308908,3.716091954,3.605947955,3.642356322,3.609696667,3.687800218,3.561111111,3.428863869,3.539325843,3.59964042,3.638974837,3.784033342,3.726486486,3.733333333,3.610980392,3.708290686,3.582113247,3.513541667,3.513541667,3.627808989,3.522058824,3.531764706,3.585669782,3.591666667,3.57505071,3.629879781,3.607370659,3.499411765,3.465838509,3.63692689,3.652337127,3.755848214,3.877011494,3.787589799,3.833058471,3.960241255,3.890908594,3.88352478,3.810408922,3.681960784,3.6429205,3.550484433,3.561191773
