RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
West Chester,OH,Cincinnati,Butler County,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.236872812,1.228400735,1.292892157,1.389198094,1.563981043,1.395897833,1.405780223,1.422403734,1.397681954,1.345784386,1.298129813,1.264332122,1.276546091,1.308016878,1.229230769,1.386806597,1.263282993,1.175889328,1.206896552,1.257121439,1.263033519,1.306153846,1.338793103,1.254375729,1.246865959,1.290441176,1.282086711,1.207465278,1.180402369,1.227004219,1.260430686,1.282249173,1.304063861,1.303388495,1.25433526,1.307277628,1.437725632,1.41509434,1.430220488
Janesville,WI,Janesville-Beloit,Rock County,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723863636,0.716145833,0.778070175,0.8,0.838028169,0.791666667,0.796204889,0.817137809,0.780170401,0.74375,0.786111111,0.863636364,0.801282051,0.753484321,0.797307692,0.793548387,0.837349398
Castle Rock,CO,Denver-Aurora-Lakewood,Douglas County,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.341139735,1.370196813,1.4,1.501818182,1.501818182,1.660036166,1.632989691,1.637432188,1.637432188,1.636851521,1.635675,1.636851521,1.63449848,1.612546125,1.604882459,1.604278075,1.626146789,1.618541033,1.624049758,1.630136986,1.610054348,1.616255811,1.739130435,1.747418586,1.673452769,1.654054054,1.690685815,1.663090129,1.650090416,1.666799568,1.710435384,1.668173599,1.688155922,1.668431409
Taylorsville,UT,Salt Lake City,Salt Lake County,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.086734694,1.076726845,1.081632653,1.096938776,1.117346939,1.137014806,1.131953428,1.314494681,1.27523186,1.217948718,1.217948718,1.280141844,1.350398936,1.446808511,1.396276596,1.488031915,1.468085106,1.471194515,1.46143617,1.469858156,1.593971631,1.59929078,1.611702128,1.596216585,1.595744681,1.604609929,1.651595745,1.617907801,1.735815603,1.664893617,1.629432624,1.624113475
Stuart,FL,Port St. Lucie,Martin County,695,,,,,,,,,,,,0.782636687,0.777503194,0.777503194,0.779411765,0.798259705,0.804924242,0.804924242,0.801282051,0.785539216,0.801447777,0.840074673,0.818483261,0.802462121,0.791666667,0.799418605,0.846310088,0.882658359,0.843454126,0.850006824,0.853154085,0.846859562,0.853154085,0.856854839,0.856854839,0.856854839,0.898520085,0.905881047,0.858114919,0.837988827,0.874758856,0.90721145,0.937523438,0.989010989,0.971428571,1.003991724,1,1.025850078,0.995241913,0.991735537,0.998263889,1.064516129,1.025641249,1.040061633,1.02189781,1.036096257,1.034528552,1.103670897,1.152698671,1.186287224,1.153161175,1.134169884,1.096625767,1.105990783,1.099022239,1.104742868,1.143765292,1.134548702,1.105810928,1.123595506,1.119289042,1.184815951,1.142857143,1.187214612,1.229518293,1.151427922,1.173913043,1.183970856,1.150696864,1.09375,1.189245088,1.169824877,1.115702479,1.17101227,1.200920245,1.186349693,1.160541586,1.216061391,1.253869969,1.251533742,1.275862069,1.28440367,1.316958681,1.303538175,1.309707242,1.325757576,1.32231405,1.309707242,1.335145264,1.303680982,1.27528584,1.274273674,1.326109391,1.299234525,1.285714286,1.34057971,1.375932836,1.361111111,1.343886456,1.343886456,1.35261194,1.384615385,1.410138249,1.420454545,1.374307585,1.38803681,1.406055209,1.395939086
Bristol,CT,Hartford-West Hartford-East Hartford,Hartford County,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788461538,0.769230769,0.866336634,0.854700855,0.930147059,0.935294118,0.866336634,0.83974359,0.9,1,0.93482906,0.844384902,0.870668317,0.92245671,0.833333333,0.866336634,0.861739745,0.882079851,0.833333333,0.945378151,0.952941176,0.975,0.981623932,0.942028986,0.945378151,1.027587519,1.034477124,0.981524249,0.944444444,0.961538462,0.961538462,0.988247863,1.0625,1.045454545,1.043478261,1.039402174,1.025720165,1,0.9875,0.961538462,0.989130435,1.036,1.0625,1.0625,1.021090535,1.024790239,1,1.014957265,1.036458333,1.012029481,1.00245098
Richmond,KY,Richmond-Berea,Madison County,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,0.730882353,0.729166667,0.789473684,0.715882353,0.704861111,0.679195804,0.699300699,0.729166667,0.729166667,0.729166667,0.783333333,0.739583333,0.764705882,0.729967949,0.72172619,0.777027027,0.705882353,0.666666667,0.777027027,0.729166667,0.708333333,0.729166667,0.729166667,0.625
National City,CA,San Diego-Carlsbad,San Diego County,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.027707809,2.010520111,1.86505024,1.880180859,1.998959417,1.974885845,1.973681454,1.923452133,1.804090909,1.944444444,1.888908873,2.025606263,1.971904266,1.982667104,1.972190665,2.182539683,2.057094878,2.077363897,2.050757006,2.111764706,2.168099331,2.251528692,2.171825397,2.092013059,2.096466094
Greenwich,CT,Bridgeport-Stamford-Norwalk,Fairfield County,699,,,,,,,,,,,,,,,,,,,,,,2.277777778,2.407221665,2.403660886,2.368421053,2.394427514,2.272986751,2.058823529,1.914545455,2.119883041,2.119205298,2.095698906,2.134938452,1.915219612,1.915219612,1.977926587,2.135223048,2.164634146,2.135223048,2.078947368,2.338326635,2.470116445,2.245833333,2.355845856,2.371057716,2.347222222,2.237140308,2.173839294,2.088636364,2.045454545,2,2.299703264,2.391183063,2.414486922,2.360428328,2.360428328,2.220987105,2.297687861,2.402103371,2.466666667,2.307692308,2.26519337,2.306916203,2.326413744,2.329873539,2.40585379,2.448071217,2.446257831,2.45,2.5,2.535897436,2.32,2.333333333,2.439453125,2.439453125,2.440559441,2.46980014,2.307692308,2.394427514,2.281093358,2.393977415,2.195,2.281995782,2.30952381,2.296164536,2.282596685,2.416063348,2.548076923,2.477225673,2.380952381,2.545182363,2.484227129,2.444211214,2.320359281,2.254098361,2.195706619,2.26925338,2.259887006,2.34375,2.326636135,2.332912989,2.485418017,2.494343891,2.532366586,2.52,2.429752066,2.47148289,2.560311284,2.618855761,2.562735257,2.523291925,2.523291925,2.45,2.550226831,2.533345149,2.539058164,2.543071161,2.578565673
Lebanon,TN,Nashville-Davidson--Murfreesboro--Franklin,Wilson County,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882885943,1.03567447,1.00989011,1.021293375,1.062291435,1.114509949,0.995990827,1.05030933,1.052681091,1.060725552,1.060725552,1.112347052,1.096214511,1.072555205,1.052941176,1.021978022,1.031726227,1.076401461,1.082568807,1.060123784,1.070234114
Azusa,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.737242128,1.777251185,1.728110599,1.800612043,1.842105263,1.792857143,1.784534038,1.784210526,1.784822569,1.789509266,1.725,1.746138348,2.013669821,1.773504274,1.745076586,1.784534038,1.788673069,1.775,1.908957416,1.828469949,1.887486856,1.942857143,1.935863441,1.912284342,1.941176471,1.983928571,1.921132457,1.992857143,1.992857143,1.973684211,2.020590891
Gardena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.868171811,1.810584958,1.75,1.751099707,1.799610895,1.76,1.863715783,1.730710256,1.65987187,1.7,1.717607973,1.7,1.828631139,1.764705882,1.764705882,1.85639881,1.919038835,2.004298118,2,2.055555556,1.931133672,1.994444444,2.107142857,2.037037037,2.071981092,2.172043011,2.083333333,2.11323764,2.03125,2.166666667,2.166666667,2.228422619,2.168320715,2.12962963
