,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,down_payment,loan_amount,mortgage_payment,property_tax,insurance_payment,RegionName,rent_per_sqft,rent,vacancy,maintenance,capex,property_management,water,electricity,garbage,monthly_cashflow,coc_return
584,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8188824659999999,1808.9113673939999,-180.8911367394,-180.8911367394,-180.8911367394,-180.8911367394,-50,-100,-50,434.8515344542984,0.3345011803494603
585,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8625,1905.2625,-190.52625,-190.52625,-190.52625,-190.52625,-50,-100,-50,492.66221401789903,0.3789709338599223
587,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8481770829999999,1873.6231763469998,-187.3623176347,-187.3623176347,-187.3623176347,-187.3623176347,-50,-100,-50,473.6786198260984,0.36436816909699876
588,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.818329876,1807.690696084,-180.7690696084,-180.7690696084,-180.7690696084,-180.7690696084,-50,-100,-50,434.11913166829845,0.3339377935909988
589,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8065207790000001,1781.6044008110002,-178.16044008110003,-178.16044008110003,-178.16044008110003,-178.16044008110003,-50,-100,-50,418.4673545044991,0.32189796500346085
590,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.797053479,1760.691135111,-176.0691135111,-176.0691135111,-176.0691135111,-176.0691135111,-50,-100,-50,405.91939508449866,0.3122456885265374
591,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.760869565,1680.760869085,-168.0760869085,-168.0760869085,-168.0760869085,-168.0760869085,-50,-100,-50,357.96123546889885,0.2753547965145376
592,PAST SALE,September-4-2019,Multi-Family (2-4 Unit),4954 N 49th St #4956,Milwaukee,WI,53218,78000,6.0,2.0,Milwaukee,2209.0,6098.0,1956.0,114.0,35.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/4954-N-49th-St-53218/unit-4956/home/144194795,METROMLS,1650131.0,N,Y,43.1077685,-87.9736157,15600.0,62400.0,-295.3402859821012,-125.90499999999999,-29.25,53218.0,0.8027777779999999,1773.3361116019998,-177.3336111602,-177.3336111602,-177.3336111602,-177.3336111602,-50,-100,-50,413.5063809790986,0.3180818315223835
711,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.9621659372340482,1974.3645032042668,-197.4364503204267,-197.4364503204267,-197.4364503204267,-197.4364503204267,-50,-100,-50,407.0606429711481,0.2442363857826889
811,PAST SALE,October-17-2019,Multi-Family (2-4 Unit),5857 N 61st St #5859,Milwaukee,WI,53218,100000,6.0,2.0,Milwaukee,2052.0,5227.0,1957.0,71.0,49.0,,Sold,,,http://www.redfin.com/WI/Milwaukee/5857-N-61st-St-53218/unit-5859/home/58079493,METROMLS,1656410.0,N,Y,43.124238899999995,-87.98753640000001,20000.0,80000.0,-378.6413922847451,-161.41666666666666,-37.49999999999999,53218.0,0.9177927929999999,1883.3108112359998,-188.3310811236,-188.3310811236,-188.3310811236,-188.3310811236,-50,-100,-50,352.42842779018804,0.21145705667411285
