RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
"Marshall, TX",469,87.66108353,87.25341426,87.24340176,87.25341426,88.90214797,89.72508025,92.04180064,93.6623668,94.72748815,94.91778774,93.49758796,90.34884154,88.24728261,88.19415412,88.86144395,89.64803313,90.91427274,91.91835898,91.95093906,91.73851544,93.10716209,89.09567497,91.99522059,93.26666667,92.82178218,93.96355353,93.96355353,95.98214286,96.80853784,95.70957096,94.19743783,96.75843694,97.6229048,97.43589744,94.32475039,96.04519774,96.74711402,97.55164499,98.71071716,99.00285894,99.43181818,97.51462939,93.45200254,90.69493522,88.87043189,88.87043189,89.62179487,89.82680773,91.48246951,93.88494394,93.5354975,97.52637353,97.66666667,95.91523342,95.75411703,96.78942398,93.32290037,93,91.57354827,91.88793325,93.12162717,95.62674076,96.57910182,100.1055409,99.42408377,101.2837838,104.0240999,104.1087963,103.4484204,103.6288232,99.81203008,100,98.76355093,100.128739,100.4464286,98.80834161,97.18310962,96.76606103,99.25745719,98.41433331,96.15384615,96.15384615,101.4341383,97.7443609,101.0273973,101.9038322,101.2232822,100.2543763,101.4705111,101.6641323,99.42095921,101.2232822,101.2670286,100.0402336,99.80798771,101.5136211,102.4710939,103.8107753,102.4709138,103.0233623,104.4040871,106.1933783,110.2868174,107.9148633,104.699871,105.5372807,102.3761419,101.3080445,100.9278609,101.7459362,104.6913426,106.7083177,107.853717,110.0961538,109.9340866,111.0120374
"Farmington, MO",470,83.35911716,85.23622047,84.93937175,84.29319372,83.37612323,81.95488722,80.7609476,80.67652643,80.60560345,80.5,79.9,78.89904128,77.1626677,75.82494723,76.09679089,77.65833765,79.33931715,82.54335468,83.05626598,83.32935526,80.57491289,80.48816987,80.49633671,78.76533909,80.52024997,81.27556818,83.44459279,84.67909564,84.06062785,83.80352296,82.56080771,79.62046205,78.84615385,79.6374863,79.0960452,78.85366039,78.73670213,79.43071966,79.20110193,79.59558824,81.20133138,79.96389459,79.88683692,79.12315511,80.45103826,81.67442206,79.65451056,79.94117647,79.37003968,79.85175202,81.90544348,83.55018587,82.54310345,82.02726809,80.41845494,81.60125589,83.41457753,81.36160714,83.14732143,83.49582173,82.27848101,82.02554745,83.57902616,85.02350088,83.69354585,84.56410256,80.5206916,80.97336691,81.44161834,81.37154555,81.04395604,79.36449517,78.73641304,79.23311185,81.04395604,83.33333333,84.29809677,87.15184187,88.07341595,88.06990881,88.11813187,88.14102564,87.63546798,85.41980895,86.03936039,84.87680544,87.16071429,84.86367446,85.8925144,85.88825215,87.56860027,87.58051203,89.5,88.4375,88.51008858,86.62255359,86.62450265,86.9,90.23793302,90.43008745,93.14108527,98.00420168,98.61374194,98.5960467,96.12854251,94.24552838,96.87275513,97.32142857,98.0377907,99.17832711,100,101.6629873,101.8691589,102.8546713,103.893544,107.609476
"Athens, OH",471,91.08072917,92.87725225,93.73397436,91.33333333,94.86912955,95.51878414,94.51540971,95.19115757,90.97950243,90.06705784,88.3139789,87.54734057,87.27848662,84.39903251,90.09626785,91.22060253,93.91469371,94.95548961,95.00959693,93.03012404,92.57276082,92.72997033,94.79708333,95.22800807,94.1428326,91.61919498,92.34550562,94.55289655,93.36734694,95.96929275,93.30991725,92.52645503,92.50047241,91.06066587,91.16489092,90.23468758,87.14285714,87.91208791,87.14285714,87.90534894,89.28571429,88.94230769,92.74193548,89.54248366,89.41409897,89.41409897,89.28571429,89.28571429,89.54248366,92.47364208,94.83361019,95.91679507,95.91679507,94.66666667,94.28571429,93.4312025,93.0583501,92.44312639,88.56416443,87.68037912,93.55685131,93.9954478,94.62796209,93.83173097,94.38131313,95.30949333,95.46703297,92.22222222,90.53285049,90.53285049,92.14802164,93.33504371,93.64902211,93.29487179,97.06233774,98.96133639,96.69352598,95.19443989,92.10526316,91.37931034,89.63178295,90.26642525,91.18415938,92.01048599,93.58131742,95.474704,97.49045697,98.25693752,99.15467215,102.01373,105.4102971,105.0982256,104.7619048,104.8292683,106.8698817,100.9615385,98.40674789,103.587963,106.8713039,111.3523573,110.3846154,110.4816447,108.1730769,107.501294,106.4922481,105.6869653,106.3506992,107.3717131,109.6153846,109.1117917,111.4417541,113.1312214,113.034188,110.6024096,106.0772043,104.9268258
"Clearlake, CA",472,135.4668675,136.5474339,133.92,127.0325203,125.4137538,124.3567753,121.6549654,119.8795181,117.286115,111.5311909,110.7949979,102.9810298,99.61128832,96.27831715,96.29969369,96.27831715,100.8540373,101.2882789,103.9192399,105.6910569,104.4061303,96.98586475,96.84524655,93.75,94.73684211,91.13712375,93.53132628,94.65719785,94.042129,93.75,94.73684211,99.6794841,99.56289461,101.5528549,100.2995643,100.3912464,99.55391602,100.4886652,104.6622265,107.3694897,116.1260247,120.2495529,121.6032609,125.1436782,127.5088652,128.2051282,128.7927695,125.833123,127.4875917,130.7605845,132.3235294,134.6685083,135.8695652,138.1461676,138.2153331,138.6687797,137.0015818,135.8501565,135.7453921,133.0798479,135.7627886,139.9745385,141.1065904,146.205944,149.3364059,151.0882709,153.6890873,150.1501502,151.8833536,153.4154535,153.6123548,153.9910039,152.98567,151.6768293,158.8741722,162.2769831,163.6513158,164.6666667,164.2423614,164.4318984,163.8588128,163.132137,162.9675438,162.3278509,162.037037,161.7002946,161.8917455,170.2029915,175.6360078,177.8245907,177.8245907,178.7482806,178.334185,176.7391723,178.4203997,182.1100096,183.675752,184.0277778,186.2469688,191.2568306,196.8973747,197.5824247,196.551687,194.042838,192.9833561,191.4683691,191.0745537,190.0368399,185.5742297,185.092011,187.6913839,191.722973,192.6546392,192.5722146,191.0001572,189.6152224
"Nacogdoches, TX",473,94.72606247,95.75351213,94.48542325,91.61897362,88.81578947,84.90590351,92.47227837,89.32869182,92.7907916,91.38006095,94.68014275,84.99037845,92.47227837,92.47227837,93.31320402,89.02999189,93.31320402,92.61145588,93.74116481,89.68824274,90.62971517,91.81786935,92.7907916,82.80365946,86.08277804,83.33333333,88.0952381,95.78293034,92.12684527,89.05852417,94.83977599,95.21456804,91.12796156,88.8537716,91.10065264,91.8079096,95.23809524,92.61769733,94.62895907,91.8079096,85.75212952,85.66270512,87.32451533,89.34849048,90.44801352,90.44801352,88.53646916,87.57731959,84.45063869,85.35630384,85.05343537,87.47916667,92.70386266,91.38888889,89.16032035,90.27777778,89.41873069,89.41873069,91.54852781,88.76078121,90.60379919,89.96181124,93.270366,96.80446892,96.22969838,93.85903699,97.17877402,95.95708483,96.62846482,96.11088374,100.9259259,100.5357962,100.7959298,102.7222738,98.26203209,93.87675511,95.91380251,95.13743625,98.4204592,98.26203209,97.10474951,101.7511604,102.7077498,104.350348,103.5713551,104.8591549,104.2985691,110.5457227,111.3659113,110.8374384,110.8374384,106.9444444,106.7826525,108.6709428,106.9444444,104.9469343,101.4814815,100.9463722,97.32988803,97.70013409,102.8464178,104.3010753,102.462703,103.5467671,106.7448442,109.0169993,106.6593415,102.8888051,106.6134386,103.6144578,106.0142712,106.0142712,108.8221037,109.2881351,108.8985688,110.670194
"Hutchinson, KS",474,,,,,,,,,,,,,,,,72.73190654,79.27086754,77.62425857,75.81380576,75.54327628,72.91666667,74.09957627,74.04661017,72.21023104,70.34372502,70.54731171,71.91422594,72.05240175,73.08735745,73.91826923,75.9375,74.69220748,74.55035971,73.45132743,72.53787879,71.14438235,70.82896118,69.63559814,74.69707345,74.1308288,72.46376812,70.70216527,71.16977226,70.84318361,71.30801688,72.559333,73.2346014,73.7649063,75.97826087,78.35126989,79.86111111,76.10701107,78.48214286,78.24607934,74.79043628,76.91758242,76.43803881,78.29652619,77.38725833,75.13300496,73.94230769,77.04823866,77.90626874,81.26762632,81.84386684,80.87134009,81.72727273,81.36519209,81.16143436,81.33187773,80.59895833,79.15656061,81.21350745,76.25809201,74.66770915,73.47212366,74.67948718,74.93191057,75.95410169,75.69808778,76.12941576,76.0283012,75.86337761,72.70683566,72.93309674,72.94952681,73.44290657,77.99479167,80.32657361,79.16776941,78.125,78.30443283,80.10695187,80.41147829,78.95554226,78.20011179,78.57206342,79.96349715,79.03225806,83.52534562,84.11451735,83.39957605,82.43243243,82.33563404,82.28021978,81.53010033,80.41014571,78.51165733,77.61299435,79.64266008,79.54727662,80.62563068,78.91175641,77.99479167,77.3380904,76.07667906
"Faribault, MN",475,126.395766,126.8461538,127.4282007,128.0102477,126.835781,125.8863581,123.1589329,123.9534884,122.4924344,123.650108,119.9770379,113.6445242,110.0623754,101.9135606,111.8868509,104.0348167,109.0570743,109.8526959,116.6832175,117.6581555,119.1502854,119.5639989,118.9655172,117.3279352,110.0567684,102.4129297,97.11553566,99.07499174,105.3099416,112.2792937,111.1527882,111.1527882,112.4287868,112.4287868,112.3336159,99.58081205,100.1670379,105.9082642,107.4514039,113.4460639,110.4593947,106.9230769,106.9230769,115.6083333,121.0525338,112.8843265,100.6353246,95.29567676,91.23016794,96.15129396,112.3853211,120.0541144,117.9497555,116.1265007,120.2331002,124.8886976,121.9801172,122.8158313,116.7280873,116.5034965,125.0886684,134.0093424,147.5582467,151.3360188,151.1196911,140.1684662,146.3339743,142.1699778,146.4279075,146.7184801,146.3293651,142.7777778,135.6812933,140.1994391,139.0840945,136.4760091,140.7657658,138.7896825,146.4285714,151.688609,153.7494149,140.5624404,150.1810585,151.6497462,147.3109899,157.9537935,160.7835538,166.7078443,174.6382364,184.0975675,189.1351351,192.1937682,195.5797101,184.8250124,180.4423749,186.4581117,191.2627551,192.281024,190.8446559,186.1695479,184.9457655,188.5232745,180.0735294,180.2975654,173.270489,167.8249046,170.23692,170.4545455,172.7912932,174.4499408,176.7288747,178.7999885,174.5810056,184.6101231,183.9373804,182.7743902
"Elizabeth City, NC",476,119.047619,117.5191064,117.3004155,116.625,114.6449052,113.3423333,112.5254535,111.0555556,109.9363955,107.7227723,108.4081564,107.7227723,106.4934532,106.6168133,106.9642857,103.8411371,106.3860668,104.8460948,106.047864,106.1789773,104.5930233,101.8691589,102.5708467,102.2755331,102.3489933,102.686823,101.5243902,101.4010283,102.1527778,100.4366812,99.27754365,100.0393954,102.7407799,105.1052632,102.8751389,103.8961039,102.987824,105.2691841,103.1504649,106.2482193,102.1108431,100.9449066,99.94413408,100.6521003,99.67515001,98.2100285,97.93797371,98.69127802,99.09845707,99.82778113,101.9769772,101.2189442,100.9539843,100,100.4232804,100.766129,99.32121972,99.0057995,99.00210084,99.20053298,99.3877551,99.24312363,99.10714286,99.58477926,98.29008736,98.23677582,97.92940705,97.37320544,97.2792675,97.29970117,99.69129988,97.93948097,97.31051345,99.95833333,103.2721713,104.3728165,104.5930233,104.125,103.2065217,101.7759563,100.9971052,99.23986395,97.57486979,98.38709677,101.1644833,102.7597403,103.640416,104.5792655,105,106.6031451,108.023845,106.6431309,107.7227011,107.8036082,105.5464181,107.161235,105.9375,104.361949,105.5985915,106.411398,105.9564719,108.5016835,110.8156028,109.1269841,109.432123,108.5016835,108.5016835,108.4745763,108.4881299,113.0928946,115.1924699,115.9231114,116.4978004,116.2790698,115.872211,116.2790698
"Ionia, MI",477,72.37776672,75.96621358,72.03525641,73.97494305,73.91623497,73.45588235,71.73825909,72.91666667,67.25027462,67.06145897,65.78947368,65.37356322,63.01801802,64.45814918,66.79681817,68.98422091,71.90469123,71.34821429,71.11292962,69.17030568,67.53088951,66.1641541,66.19465983,64.49368604,64.47124304,63.90784983,63.80952381,64.01150932,66.93181818,67.87042974,68.00742574,67.87042974,67.04771372,65.94339623,67.14285714,68.08176101,69.69273743,66.45590101,69.82039699,72.93814433,73.95573841,76.70648464,75.13410884,77.26126943,79.26077537,77.78688525,76.79487179,78.02083333,75.58823529,75.72427959,76.99024373,78.64319929,82.99050633,84.42408377,84.1894061,83.86150235,84.15000947,81.69219548,83.11666667,82.11065205,81.73751687,84.18013857,83.87688458,84.28030303,86.13505747,86.65951775,84.22619048,85.36324786,85.14596289,82.82258576,80.86158192,80.78875863,81.87184571,84.40721649,88.24786325,95.54140127,94.64285714,92.25641026,89.81515618,88.777346,88.65108337,89.12037037,88.74493029,85.31291886,84.65982028,88.18627451,90.05305629,92.82669847,92.65822785,96.3373494,97.39721002,98.79943503,99.508789,99.37472086,99.64285714,94.45701357,88.81944444,90.79251035,92.95717975,98.62306368,104.1531225,106.8691103,110.541829,109.45907,110.9410865,104.9,100.5937337,97.45714498,98.18376068,96.62000688,99.71413309,110.986295,107.1428571,114.1801075,114.333782,113.0516215
"Alamogordo, NM",478,98.44836811,100.2640845,100.2157476,100.9680135,100.9680135,101.0108865,101.3999528,99.55213196,101.4304938,99.26199262,98.66735008,98.26610022,98.44836811,97.49619869,98.62832962,97.27319752,98.07788887,100.1160051,100.5040604,100.1160051,100.7491582,100,99.95635094,101.0131108,100.6944444,102.8101439,103.6538462,102.2510232,101.6630901,100.86727,102.365181,100.3990401,99.53976728,100.4845183,98.94540943,98.61932939,98.30601093,97.19703215,97.84207945,96.91195962,100.0573394,98.40228245,98.64925012,99.70039947,99.93333333,99.88891974,101.3948498,100.6410256,99.94871795,100.6410256,101.5671328,101.1991965,105.0878703,101.0135135,101.3493722,99.1016109,98.77532834,98.89240506,98.45179451,98.82828094,98.60191317,98.89240506,98.54988399,99.0344903,98.24107605,98.01047753,98.89240506,97.73550725,97.07142857,95.16505989,95.41577825,95.86312872,97.10708117,97.40840036,97.10708117,100,100.8520179,101.8987342,102.9776675,103.1555004,103.3934252,102.4801384,101.6869387,101.7464741,102.2094926,103.8792495,105.7298772,103.8369305,105.7298772,106.741573,105.3061224,103.5171863,103.5196687,103.7118869,104.4891641,104.7478873,105.1902508,105.9701493,105.3741753,105.9123777,107.3664825,109.3150685,105.3037152,105.1928891,103.79059,104.394127,102.4123154,103.250591,102.0480226,103.6335931,105.6234719,107.1996818,108.2517415,108.4889076,108.7719298,108.4086799
