SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3246 S 12th St Unit 3246A,Milwaukee,WI,53215,179000,4,2,Milwaukee,1777,4356,1927,9,101,,Active,,,http://www.redfin.com/WI/Milwaukee/3246-S-12th-St-53215/unit-3246A/home/170280159,METROMLS,1672998,N,Y,42.9854324,-87.9273712
MLS Listing,,Multi-Family (2-4 Unit),4006 N 41st St #4008,Milwaukee,WI,53216,135000,4,2,Milwaukee,1764,5662,1942,10,77,,Active,,,http://www.redfin.com/WI/Milwaukee/4006-N-41st-St-53216/unit-4008/home/101389310,METROMLS,1672925,N,Y,43.090118,-87.9639366
MLS Listing,,Multi-Family (2-4 Unit),2539 S 9th Pl,Milwaukee,WI,53215,80000,4,2,Milwaukee,1760,3484,1906,10,45,,Active,,,http://www.redfin.com/WI/Milwaukee/2539-S-9th-Pl-53215/home/58054665,METROMLS,1672886,N,Y,42.9983532,-87.923962
MLS Listing,,Multi-Family (2-4 Unit),2107 N 51st St #2109,Milwaukee,WI,53208,235000,6,2,Milwaukee,2792,4791,1922,12,84,,Active,,,http://www.redfin.com/WI/Milwaukee/2107-N-51st-St-53208/unit-2109/home/170270698,METROMLS,1672807,N,Y,43.0574094,-87.9779547
MLS Listing,,Multi-Family (2-4 Unit),1749 N 53rd St #1751,Milwaukee,WI,53208,225000,4,2,Milwaukee,2291,4791,1923,12,98,,Active,,,http://www.redfin.com/WI/Milwaukee/1749-N-53rd-St-53208/unit-1751/home/170270689,METROMLS,1672805,N,Y,43.0541753,-87.9801993
MLS Listing,,Multi-Family (2-4 Unit),1811 N 53rd St #1813,Milwaukee,WI,53208,225000,6,2,Milwaukee,2792,4791,1922,12,81,,Active,,,http://www.redfin.com/WI/Milwaukee/1811-N-53rd-St-53208/unit-1813/home/90225506,METROMLS,1672802,N,Y,43.0544606,-87.9803087
MLS Listing,,Multi-Family (2-4 Unit),11128 W Florist Ave #11130,Milwaukee,WI,53225,219900,6,2,Milwaukee,2896,9147,1977,13,76,,Active,,,http://www.redfin.com/WI/Milwaukee/11128-W-Florist-Ave-53225/unit-11130/home/170267806,METROMLS,1672705,N,Y,43.1267987,-88.0512554
MLS Listing,,Multi-Family (2-4 Unit),6033 N 112th St #6035,Milwaukee,WI,53225,229900,6,2,Milwaukee,2896,18730,1973,13,79,,Active,,,http://www.redfin.com/WI/Milwaukee/6033-N-112th-St-53225/unit-6035/home/146368040,METROMLS,1672694,N,Y,43.127253,-88.051845
MLS Listing,,Multi-Family (2-4 Unit),3401 S 34th St #3403,Milwaukee,WI,53215,172000,4,2,Milwaukee,2050,7840,1955,14,84,,Active,,,http://www.redfin.com/WI/Milwaukee/3401-S-34th-St-53215/unit-3403/home/170242668,METROMLS,1672535,N,Y,42.9828917,-87.9572001
MLS Listing,,Multi-Family (2-4 Unit),2015 N 58th St #2017,Milwaukee,WI,53208,297500,6,3,Milwaukee,3422,5227,1924,14,87,,Active,,,http://www.redfin.com/WI/Milwaukee/2015-N-58th-St-53208/unit-2017/home/146373559,METROMLS,1672518,N,Y,43.0563972,-87.9855152
MLS Listing,,Multi-Family (2-4 Unit),2138 S 24th St,Milwaukee,WI,53215,64000,6,2,Milwaukee,1796,3049,1910,14,36,,Active,,,http://www.redfin.com/WI/Milwaukee/2138-S-24th-St-53215/home/90372039,METROMLS,1672500,N,Y,43.0058097,-87.9435138
MLS Listing,,Multi-Family (2-4 Unit),1405 W Euclid Ave,Milwaukee,WI,53215,179900,4,2,Milwaukee,1984,3484,1908,14,91,,Active,,,http://www.redfin.com/WI/Milwaukee/1405-W-Euclid-Ave-53215/home/90377625,METROMLS,1672455,N,Y,42.9863251,-87.9304947
MLS Listing,,Multi-Family (2-4 Unit),2600 N 50th St #2602,Milwaukee,WI,53210,110000,4,2,Milwaukee,2247,3920,1923,16,49,,Active,,,http://www.redfin.com/WI/Milwaukee/2600-N-50th-St-53210/unit-2602/home/58078393,METROMLS,1672311,N,Y,43.0662309,-87.9758585
MLS Listing,,Multi-Family (2-4 Unit),2415 N 35th St,Milwaukee,WI,53210,37900,4,2,Milwaukee,2495,8276,1922,17,15,,Active,,,http://www.redfin.com/WI/Milwaukee/2415-N-35th-St-53210/home/90224471,METROMLS,1672112,N,Y,43.062792,-87.957829
MLS Listing,,Multi-Family (2-4 Unit),2971 N 61st St #2973,Milwaukee,WI,53210,154900,4,2,Milwaukee,2137,4791,1928,20,72,,Active,,,http://www.redfin.com/WI/Milwaukee/2971-N-61st-St-53210/unit-2973/home/170203584,METROMLS,1671788,N,Y,43.0732769,-87.9888335
MLS Listing,,Multi-Family (2-4 Unit),3276 S 7th St,Milwaukee,WI,53215,190000,4,2,Milwaukee,2033,4791,1929,21,93,,Active,,,http://www.redfin.com/WI/Milwaukee/3276-S-7th-St-53215/home/58064984,METROMLS,1671724,N,Y,42.9848452,-87.9200928
MLS Listing,,Multi-Family (2-4 Unit),3956 N 67th St #3958,Milwaukee,WI,53216,122550,4,2,Milwaukee,2265,5227,1948,21,54,,Active,,,http://www.redfin.com/WI/Milwaukee/3956-N-67th-St-53216/unit-3958/home/90353497,METROMLS,1671712,N,Y,43.0893507,-87.9954974
MLS Listing,,Multi-Family (2-4 Unit),1828 S 11th St,Milwaukee,WI,53204,85000,4,2,Milwaukee,1960,5227,1900,23,43,,Active,,,http://www.redfin.com/WI/Milwaukee/1828-S-11th-St-53204/home/58051854,METROMLS,1671546,N,Y,43.0103326,-87.925341
MLS Listing,,Multi-Family (2-4 Unit),1336 W Harrison Ave #1338,Milwaukee,WI,53215,69900,6,2,Milwaukee,2820,3484,1914,23,25,,Active,,,http://www.redfin.com/WI/Milwaukee/1336-W-Harrison-Ave-53215/unit-1338/home/58077397,METROMLS,1671515,N,Y,42.9979028,-87.9297591
MLS Listing,,Multi-Family (2-4 Unit),1717 N 38th St #1719,Milwaukee,WI,53208,67900,6,2,Milwaukee,2600,3049,1909,25,26,,Active,,,http://www.redfin.com/WI/Milwaukee/1717-N-38th-St-53208/unit-1719/home/90228004,METROMLS,1671418,N,Y,43.0527942,-87.9618661
MLS Listing,,Multi-Family (2-4 Unit),3936 N 18th St,Milwaukee,WI,53206,79900,4,2,Milwaukee,2031,5227,1926,26,39,,Active,,,http://www.redfin.com/WI/Milwaukee/3936-N-18th-St-53206/home/58079620,METROMLS,1671384,N,Y,43.0886559,-87.9330015
MLS Listing,,Multi-Family (2-4 Unit),7851 W Van Beck Ave #7853,Milwaukee,WI,53220,285000,6,2,Milwaukee,2461,8276,1977,27,116,,Active,,,http://www.redfin.com/WI/Milwaukee/7851-W-Van-Beck-Ave-53220/unit-7853/home/146371787,METROMLS,1671321,N,Y,42.972529,-88.011567
MLS Listing,,Multi-Family (2-4 Unit),1717 N 49th St #1719,Milwaukee,WI,53208,229000,6,2,Milwaukee,2700,4356,1914,31,85,,Active,,,http://www.redfin.com/WI/Milwaukee/1717-N-49th-St-53208/unit-1719/home/170156357,METROMLS,1671181,N,Y,43.053456,-87.975078
MLS Listing,,Multi-Family (2-4 Unit),2149 N 48th St #2151,Milwaukee,WI,53208,164500,6,2,Milwaukee,2596,4356,1912,34,63,,Active,,,http://www.redfin.com/WI/Milwaukee/2149-N-48th-St-53208/unit-2151/home/166840352,METROMLS,1671066,N,Y,43.058265,-87.973916
MLS Listing,,Multi-Family (2-4 Unit),2101 W Clarke St,Milwaukee,WI,53206,2600,4,2,Milwaukee,2049,5227,1888,34,1,,Active,,,http://www.redfin.com/WI/Milwaukee/2101-W-Clarke-St-53206/home/58074129,METROMLS,1671054,N,Y,43.0658408,-87.9389557
MLS Listing,,Multi-Family (2-4 Unit),3516 W Park Hill Ave #3518,Milwaukee,WI,53208,69500,5,2,Milwaukee,2344,4356,1895,36,30,,Active,,,http://www.redfin.com/WI/Milwaukee/3516-W-Park-Hill-Ave-53208/unit-3518/home/146371360,METROMLS,1670866,N,Y,43.032936,-87.9583619
MLS Listing,,Multi-Family (2-4 Unit),8423 W Keefe Ave #8425,Milwaukee,WI,53222,163900,4,2,Milwaukee,2344,6098,1956,36,70,,Active,,,http://www.redfin.com/WI/Milwaukee/8423-W-Keefe-Ave-53222/unit-8425/home/146369097,METROMLS,1670684,N,Y,43.0821929,-88.018325
MLS Listing,,Multi-Family (2-4 Unit),2237 N 57th St #2239,Milwaukee,WI,53208,174900,4,2,Milwaukee,2187,3920,1922,39,80,,Active,,,http://www.redfin.com/WI/Milwaukee/2237-N-57th-St-53208/unit-2239/home/90225245,METROMLS,1670679,N,Y,43.0601769,-87.9845063
MLS Listing,,Multi-Family (2-4 Unit),2478 S 16th St,Milwaukee,WI,53215,179000,4,2,Milwaukee,2446,3920,1928,40,73,,Active,,,http://www.redfin.com/WI/Milwaukee/2478-S-16th-St-53215/home/90373503,METROMLS,1670657,N,Y,42.9995065,-87.933193
MLS Listing,,Multi-Family (2-4 Unit),5024 W Wisconsin Ave,Milwaukee,WI,53208,199999,4,2,Milwaukee,3162,6534,1918,42,63,,Active,,,http://www.redfin.com/WI/Milwaukee/5024-W-Wisconsin-Ave-53208/home/90228723,METROMLS,1669166,N,Y,43.0391032,-87.9772152
MLS Listing,,Multi-Family (2-4 Unit),2202 W Vienna Ave,Milwaukee,WI,53206,75000,4,2,Milwaukee,1921,3049,1921,43,39,,Active,,,http://www.redfin.com/WI/Milwaukee/2202-W-Vienna-Ave-53206/home/90354246,METROMLS,1670347,N,Y,43.0862679,-87.939766
