SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-15-2019,Multi-Family (5+ Unit),2501 S 44th St #2505,Milwaukee,WI,53219,395000,,,Milwaukee,,9147,1960,70,,,Sold,,,http://www.redfin.com/WI/Milwaukee/2501-S-44th-St-53219/unit-2505/home/58051920,METROMLS,1653505,N,Y,42.9987555,-87.9687395
PAST SALE,November-20-2019,Multi-Family (2-4 Unit),3014 S 48th St #3016,Milwaukee,WI,53219,180000,4,2,Jackson Park,2182,4791,1920,65,82,,Sold,,,http://www.redfin.com/WI/Milwaukee/3014-S-48th-St-53219/unit-3016/home/169413704,METROMLS,1663755,N,Y,42.9898824,-87.9738143
PAST SALE,November-27-2019,Multi-Family (2-4 Unit),3527 N 84th St Unit 3527A,Milwaukee,WI,53222,157000,4,2,Milwaukee,2008,5227,1955,58,78,,Sold,,,http://www.redfin.com/WI/Milwaukee/3527-N-84th-St-53222/unit-3527A/home/104228893,METROMLS,1637125,N,Y,43.083181,-88.017956
PAST SALE,August-12-2019,Multi-Family (2-4 Unit),2153 S 56th St,West Allis,WI,53219,260000,,,Milwaukee,,8712,1979,165,,,Sold,,,http://www.redfin.com/WI/West-Allis/2153-S-56th-St-53219/home/164447239,METROMLS,1634295,N,Y,43.0051562,-87.9830496
PAST SALE,October-8-2019,Multi-Family (2-4 Unit),6416 W Oconto Pl Unit 6416A,West Allis,WI,53219,163000,3,2,West Allis,1600,4791,1928,108,102,,Sold,,,http://www.redfin.com/WI/West-Allis/6416-W-Oconto-Pl-53219/unit-6416A/home/168723820,METROMLS,1655627,N,Y,43.0067251,-87.9929657
PAST SALE,,Multi-Family (2-4 Unit),3282 S 50th St,Milwaukee,WI,53219,204900,5,2,,2071,7800,1953,,99,,,,,http://www.redfin.com/WI/Milwaukee/3282-S-50th-St-53219/home/90241870,,,N,Y,42.9847505,-87.9764117
PAST SALE,December-13-2019,Multi-Family (2-4 Unit),7404 W Fernwood Cir,Milwaukee,WI,53219,306000,,,Milwaukee,3055,9583,1960,42,100,,Sold,,,http://www.redfin.com/WI/Milwaukee/7404-W-Fernwood-Cir-53219/home/58073858,METROMLS,1666053,N,Y,42.9869861,-88.0042759
PAST SALE,December-20-2019,Multi-Family (5+ Unit),6126 W Burnham St,West Allis,WI,53219,420000,,,West Allis,,6098,1928,35,,,Sold,,,http://www.redfin.com/WI/West-Allis/6126-W-Burnham-St-53219/home/169830095,METROMLS,1667948,N,Y,43.0104348,-87.9896854
PAST SALE,December-27-2019,Multi-Family (2-4 Unit),2864 S 60th St Unit 2864 A,Milwaukee,WI,53219,125000,5,2,Milwaukee,1729,9583,1920,28,72,,Sold,,,http://www.redfin.com/WI/Milwaukee/2864-S-60th-St-53219/unit-2864-A/home/167395755,METROMLS,1648304,N,Y,42.9923792,-87.98744
PAST SALE,January-17-2020,Multi-Family (2-4 Unit),5832 W Stack Dr,Milwaukee,WI,53219,340000,,,Milwaukee,,7405,1950,7,,,Sold,,,http://www.redfin.com/WI/Milwaukee/5832-W-Stack-Dr-53219/home/58075110,METROMLS,1663945,N,Y,42.9921799,-87.9873036
PAST SALE,August-16-2019,Multi-Family (2-4 Unit),3255 S Springfield Ave #3257,Milwaukee,WI,53207,337000,4,2,Milwaukee,2137,4791,1929,161,158,,Sold,,,http://www.redfin.com/WI/Milwaukee/3255-S-Springfield-Ave-53207/unit-3257/home/167121410,METROMLS,1644213,N,Y,42.985176,-87.88355
PAST SALE,August-23-2019,Multi-Family (2-4 Unit),3739 S Austin St,Milwaukee,WI,53207,189900,4,2,Milwaukee,1664,8276,1941,154,114,,Sold,,,http://www.redfin.com/WI/Milwaukee/3739-S-Austin-St-53207/home/58061531,METROMLS,1647456,N,Y,42.976488,-87.908164
PAST SALE,September-30-2019,Multi-Family (2-4 Unit),4275 S 22nd St Unit 4275A,Milwaukee,WI,53221,215000,5,2,Milwaukee,2079,7840,1973,116,103,,Sold,,,http://www.redfin.com/WI/Milwaukee/4275-S-22nd-St-53221/unit-4275A/home/167138033,METROMLS,1645123,N,Y,42.967227,-87.941676
PAST SALE,,Multi-Family (2-4 Unit),3612 S 34th St,Greenfield,WI,53221,215900,4,2,,,5227,,,,,,,,http://www.redfin.com/WI/Greenfield/3612-S-34th-St-53221/home/90291570,,,N,Y,42.97905,-87.956656
PAST SALE,,Multi-Family (2-4 Unit),1532 E Saveland Ave,Milwaukee,WI,53207,175300,3,2,,1514,5080,1947,,116,,,,,http://www.redfin.com/WI/Milwaukee/1532-E-Saveland-Ave-53207/home/90244931,,,N,Y,42.97671,-87.889832
PAST SALE,October-15-2019,Multi-Family (2-4 Unit),3658 S 35th St #3660,Milwaukee,WI,53221,153000,4,2,Milwaukee,2284,4791,1926,101,67,,Sold,,,http://www.redfin.com/WI/Milwaukee/3658-S-35th-St-53221/unit-3660/home/169437570,METROMLS,1664118,N,Y,42.9781198,-87.9578891
PAST SALE,October-10-2019,Multi-Family (2-4 Unit),1220 E Russell Ave,Milwaukee,WI,53207,225850,4,2,Milwaukee,1556,7405,1900,106,145,,Sold,,,http://www.redfin.com/WI/Milwaukee/1220-E-Russell-Ave-53207/home/58068283,METROMLS,1659254,N,Y,42.9971636,-87.8940726
PAST SALE,October-11-2019,Multi-Family (2-4 Unit),818 E Russell Ave #820,Milwaukee,WI,53207,285000,7,3,Milwaukee,3183,2613,1906,105,90,,Sold,,,http://www.redfin.com/WI/Milwaukee/818-E-Russell-Ave-53207/unit-820/home/90374442,METROMLS,1653776,N,Y,42.995817,-87.8985218
PAST SALE,,Multi-Family (2-4 Unit),3239 S 76th St,Milwaukee,WI,53219,153000,5,3,,2374,7560,1960,,64,,,,,http://www.redfin.com/WI/Milwaukee/3239-S-76th-St-53219/home/90241410,,,N,Y,42.9850977,-88.008183
PAST SALE,November-26-2019,Multi-Family (2-4 Unit),2621 S 82nd St Unit 2621A,West Allis,WI,53219,249900,5,2,West Allis,2000,6969,1924,59,125,,Sold,,,http://www.redfin.com/WI/West-Allis/2621-S-82nd-St-53219/unit-2621A/home/58053548,METROMLS,1662556,N,Y,42.9966709,-88.0155347
PAST SALE,,Other,4201 W Morgan Ave,Milwaukee,WI,53221,310000,12,1,,,9100,1955,,,,,,,http://www.redfin.com/WI/Milwaukee/4201-W-Morgan-Ave-53221/home/58054688,,,N,Y,42.9808807,-87.9669026
PAST SALE,September-6-2019,Multi-Family (2-4 Unit),3282 S 50th St #3284,Milwaukee,WI,53219,204900,5,2,Milwaukee,2071,7840,1953,140,99,,Sold,,,http://www.redfin.com/WI/Milwaukee/3282-S-50th-St-53219/unit-3284/home/167079569,METROMLS,1642083,N,Y,42.9847505,-87.9764117
PAST SALE,,Multi-Family (2-4 Unit),2855 S 58th St #1,Milwaukee,WI,53219,240000,5,3,,2556,9750,1958,,94,,,,,http://www.redfin.com/WI/Milwaukee/2855-S-58th-St-53219/unit-1/home/90375788,,,N,Y,42.9923876,-87.9864926
PAST SALE,September-20-2019,Multi-Family (2-4 Unit),3156 S 49th St #3158,Milwaukee,WI,53219,175000,4,2,Milwaukee,1708,5227,1952,126,102,,Sold,,,http://www.redfin.com/WI/Milwaukee/3156-S-49th-St-53219/unit-3158/home/90376990,METROMLS,1652423,N,Y,42.9870509,-87.97503
PAST SALE,,Multi-Family (2-4 Unit),7210 W Lakefield Dr Unit A,Milwaukee,WI,53219,209900,3,2,,1815,7080,1955,,116,,,,,http://www.redfin.com/WI/Milwaukee/7210-W-Lakefield-Dr-53219/unit-A/home/90376561,,,N,Y,42.9875296,-88.0025246
PAST SALE,December-27-2019,Multi-Family (2-4 Unit),2547 S 71st St Unit 2547A,Milwaukee,WI,53219,172000,3,2,Milwaukee,1807,8276,1946,28,95,,Sold,,,http://www.redfin.com/WI/Milwaukee/2547-S-71st-St-53219/unit-2547A/home/169409556,METROMLS,1662645,N,Y,42.9981362,-88.0015595
PAST SALE,January-24-2020,Multi-Family (2-4 Unit),2934 S 44th St,Milwaukee,WI,53219,165000,4,2,Milwaukee,1560,5227,1944,1,106,,Sold,,,http://www.redfin.com/WI/Milwaukee/2934-S-44th-St-53219/home/90375794,METROMLS,1670112,N,Y,42.991237,-87.968734
PAST SALE,September-16-2019,Multi-Family (2-4 Unit),2779 S 58th St #2781,Milwaukee,WI,53219,215000,5,2,Milwaukee,2073,7405,1959,130,104,,Sold,,,http://www.redfin.com/WI/Milwaukee/2779-S-58th-St-53219/unit-2781/home/90240147,METROMLS,1648481,N,Y,42.9936204,-87.9865917
PAST SALE,,Multi-Family (2-4 Unit),3435 S Delaware Ave,Milwaukee,WI,53207,194000,2,2,,1526,6000,1912,,127,,,,,http://www.redfin.com/WI/Milwaukee/3435-S-Delaware-Ave-53207/home/90244133,,,N,Y,42.9819399,-87.8775098
PAST SALE,December-20-2019,Multi-Family (5+ Unit),5502 W Burnham St,West Milwaukee,WI,53219,319900,,,West Milwaukee,,7405,1930,35,,,Sold,,,http://www.redfin.com/WI/West-Milwaukee/5502-W-Burnham-St-53219/home/90314369,METROMLS,1668059,N,Y,43.0103704,-87.9817491
PAST SALE,,Multi-Family (2-4 Unit),2894 S Wentworth Ave,Milwaukee,WI,53207,337500,7,3,,3308,2760,1905,,102,,,,,http://www.redfin.com/WI/Milwaukee/2894-S-Wentworth-Ave-53207/home/90238259,,,N,Y,42.9921365,-87.8822306
PAST SALE,December-6-2019,Multi-Family (2-4 Unit),1340 W Holmes Ave,Milwaukee,WI,53221,250000,,,Milwaukee,4000,10018,1943,49,63,,Sold,,,http://www.redfin.com/WI/Milwaukee/1340-W-Holmes-Ave-53221/home/58073542,METROMLS,1612231,N,Y,42.9540257,-87.9306176
PAST SALE,,Other,2230 S 72nd St,West Allis,WI,53219,132000,,,,,3572,,,,,,,,http://www.redfin.com/WI/West-Allis/2230-S-72nd-St-53219/home/58061710,,,N,Y,43.003838,-88.00237
PAST SALE,October-9-2019,Multi-Family (2-4 Unit),357 E Dover St #359,Milwaukee,WI,53207,215000,4,3,Milwaukee,2924,3920,1917,107,74,,Sold,,,http://www.redfin.com/WI/Milwaukee/357-E-Dover-St-53207/unit-359/home/90374087,METROMLS,1622569,N,Y,42.9957942,-87.9052763
PAST SALE,,Other,7827 W Rogers St,West Allis,WI,53219,62700,,,,,3746,,,,,,,,http://www.redfin.com/WI/West-Allis/7827-W-Rogers-St-53219/home/58052149,,,N,Y,43.00798,-88.011126
PAST SALE,,Multi-Family (2-4 Unit),2846 S Linebarger Ter #2848,Milwaukee,WI,53207,250000,5,2,,3036,5093,1913,,82,,,,,http://www.redfin.com/WI/Milwaukee/2846-S-Linebarger-Ter-53207/unit-2848/home/90374751,,,N,Y,42.9911651,-87.8880529
PAST SALE,November-13-2019,Multi-Family (2-4 Unit),10123 W Kiehnau Ave #10125,Milwaukee,WI,53224,81000,,,Milwaukee,2749,10018,1969,72,29,,Sold,,,http://www.redfin.com/WI/Milwaukee/10123-W-Kiehnau-Ave-53224/unit-10125/home/90196998,METROMLS,1662250,N,Y,43.1353853,-88.0387496
PAST SALE,December-3-2019,Multi-Family (2-4 Unit),3200 S 76th St,Milwaukee,WI,53219,226000,,,Milwaukee,2530,7840,1958,52,89,,Sold,,,http://www.redfin.com/WI/Milwaukee/3200-S-76th-St-53219/home/90376737,METROMLS,1664967,N,Y,42.9860128,-88.007155
PAST SALE,November-25-2019,Multi-Family (2-4 Unit),5783 S 13th St #5785,Milwaukee,WI,53221,220000,6,2,Milwaukee,2167,5662,1969,60,102,,Sold,,,http://www.redfin.com/WI/Milwaukee/5783-S-13th-St-53221/unit-5785/home/169299106,METROMLS,1662750,N,Y,42.93949,-87.929889
PAST SALE,,Multi-Family (2-4 Unit),4919 S 26th St,Milwaukee,WI,53221,249900,5,2.5,,2284,9600,1964,,109,,,,,http://www.redfin.com/WI/Milwaukee/4919-S-26th-St-53221/home/90249867,,,N,Y,42.955294,-87.947768
PAST SALE,,Multi-Family (2-4 Unit),10324 W Jonen St,Milwaukee,WI,53224,170000,6,3,,2529,7560,1980,,67,,,,,http://www.redfin.com/WI/Milwaukee/10324-W-Jonen-St-53224/home/90197346,,,N,Y,43.135836,-88.040569
PAST SALE,November-25-2019,Multi-Family (5+ Unit),9900 W Fond Du Lac Ave,Milwaukee,WI,53224,600000,,,Milwaukee,11504,23522,1972,60,52,,Sold,,,http://www.redfin.com/WI/Milwaukee/9900-W-Fond-Du-Lac-Ave-53224/home/58075655,METROMLS,1657696,N,Y,43.136442,-88.0350477
PAST SALE,August-16-2019,Multi-Family (2-4 Unit),4379 S Quincy Ave,Milwaukee,WI,53207,215000,5,2,Milwaukee,2670,12196,1927,161,81,,Sold,,,http://www.redfin.com/WI/Milwaukee/4379-S-Quincy-Ave-53207/home/58064572,METROMLS,1646170,N,Y,42.9647781,-87.9024283
